name,address,phone,fax,email,website,keywords,latitude,longitude,pharmacy_code,notes
Westfair Drugs BC,3317-18765 Fraser Highway,604-576-3126,604-576-6844,,,,,,P6775,
MODERN PHARMACY,"51296 Yale Road, Chilliwack, British Columbia, V0X 1X0",778-704-0474,236-436-2035,info@modernpharmacy.ca,,,49.18198,-121.805281,P6803,
PROSPER PHARMACY NO. 3,"3 - 12818 72 Ave Surrey, BC V3W 2M9 CANADA",(604) 543-6677,(604) 543-4433,,,,49.1334681,-122.8673146,P765,
Safeway #4979,2101 Lahb Ave Vancouver BC V6L 0B9,604-731-9611,604-731-6730,rx4979@sobeys.com,,,,,P6776,
SAVE-ON-FOODS PHARMACY #2255,"15615 104 Avenue, Surrey, British Columbia, V4N 2H4",604-589-0187,604-589-0188,,,,,,P6777,
Pocketpills (delivery),"233 - 18525 53 Ave Surrey, BC V3S 7A4",(604) 372-3754,(855) 928-1768,cortico@pocketpills.com,,,,,P755,
SCRIPT CARE PHARMACY,"6741 Cariboo Road, Burnaby, British Columbia, V3N 4A3",604-415-9607,604-415-9608,,,,,,P6778,
PHARMASAVE SULLIVAN SQUARE,106 - 15325 56th Avenue Surrey BC V3S 0X9,(604) 303-6343,(604) 372-2772,,,,,,P6783,
Kent Pharmacy New Westminster Delivery,"424 Columbia St
New Westminster, British Columbia, V3L 1B1",604.522.3400,604.522.3402,guardian-ida-remedysrx@mckesson.ca,,,,,P6787,
Telus Virtual Pharmacy,,,1-855-295-7174,,,,,,P6791,
LIFECONNECT PHARMACY (Delivery),"102 - 5967 168 St Surrey, BC V3S 3X5 CANADA",(604) 372-0912,(604) 372-0913,info@lifeconnectpharmacy.com,,,49.110831,-122.756901,P6793,
Pharmasave Northwoods,"2150 Dollarton Hwy, North Vancouver, BC V7H 0B5",(604) 988-0562,(833) 888-1641,,,,,,P6801,
Otter Co-op Pharmacy (Parallel Marketplace) 1888 N Parallel Rd #101,"1888 N Parallel Rd #101, Abbotsford, BC V3G 2C6",778-771-0410,778-771-0411,,,,,,P6795,
Ladysmith Wholehealth Pharmacy,"17 Gatacre St L, Ladysmith, BC V9G 1A1",250-924-1241,236-933-2981,info@ladysmithwholehealthpharmacy.ca,,,,,P6797,
Divine Pharmacy (Delivery),"4225 Hastings St. Burnaby, BC, V5C 2J5, Canada",(604) 423-6004,(604) 423-5004,info@divinepharmacy.ca,,,49.281284,-123.010458,P6782,
Divine Pharmacy,"4225 Hastings St. Burnaby, BC, V5C 2J5, Canada",(604) 423-6004,(604) 423-5004,info@divinepharmacy.ca,,,49.28121,-123.010224,P6798,
LOBLAW (SUPERSTORE) PHARMACY #1524,"1424 Island Highway Campbell River, BC V9W 2E3 CANADA",(250) 830-2730,(250) 830-2733,,,,50.0341086,-125.2483928,P328,
PHARMACHOICE #9100,"101 - 2280 Hastings St E Vancouver, BC V5L 1V4 CANADA",(604) 305-0345,(604) 305-0346,,,,49.2809516,-123.0583263,P672,
COSTCO PHARMACY # 552,"605 Expo Blvd Vancouver, BC V6B 1V4 CANADA",(604) 622-5059,(778) 309-6386,,,,49.2786714,-123.1096921,P120,
SHOPPERS DRUG MART,"755 DANFORTH AVE , TORONTO M4J 1L2 (Store #994)",(416) 461-7533,(416) 463-8465,asdm994@shoppersdrugmart.ca,,,43.6791604,-79.3422515,37436,
TELUS Virtual Pharmacy,"21320 Gordon Way, #165, Richmond, BC, V6W 1J8",1-855-370-7979,1-855-295-7174,virtuialpharmacysupport@telus.com,,,49.14238627,-123.0094205,P6779,
Kent Pharmacy New Westminster,"424 Columbia St
New Westminster, British Columbia, V3L 1B1",604-522-3400,604-522-3402,,,,,,P6784,
"London Drugs Westminster Centre 555-6th Street, New Westminster","555-6th Street, New Westminster, BC, V3L 5H1",(604) 524-1121,(604) 520-5417,,,,,,P6805,
